14;12;2018;6;28;18;279;245;228;209;147
15;12;2018;7;18;279;245;228;209;147;9
16;12;2018;1;279;245;228;209;147;9;12
17;12;2018;2;245;228;209;147;9;12;260
18;12;2018;3;228;209;147;9;12;260;179
19;12;2018;4;209;147;9;12;260;179;178
20;12;2018;5;147;9;12;260;179;178;172
21;12;2018;6;9;12;260;179;178;172;128
22;12;2018;7;12;260;179;178;172;128;11
23;12;2018;1;260;179;178;172;128;11;2
24;12;2018;2;179;178;172;128;11;2;56
25;12;2018;3;178;172;128;11;2;56;24
26;12;2018;4;172;128;11;2;56;24;143
27;12;2018;5;128;11;2;56;24;143;149
28;12;2018;6;11;2;56;24;143;149;120
29;12;2018;7;2;56;24;143;149;120;20
30;12;2018;1;56;24;143;149;120;20;4
31;12;2018;2;24;143;149;120;20;4;37
1;1;2019;3;143;149;120;20;4;37;22
2;1;2019;4;149;120;20;4;37;22;292
3;1;2019;5;120;20;4;37;22;292;239
4;1;2019;6;20;4;37;22;292;239;184
5;1;2019;7;4;37;22;292;239;184;14
6;1;2019;1;37;22;292;239;184;14;5
7;1;2019;2;22;292;239;184;14;5;270
8;1;2019;3;292;239;184;14;5;270;207
9;1;2019;4;239;184;14;5;270;207;215
10;1;2019;5;184;14;5;270;207;215;238
11;1;2019;6;14;5;270;207;215;238;190
12;1;2019;7;5;270;207;215;238;190;12
13;1;2019;1;270;207;215;238;190;12;6
14;1;2019;2;207;215;238;190;12;6;236
15;1;2019;3;215;238;190;12;6;236;248
16;1;2019;4;238;190;12;6;236;248;229
17;1;2019;5;190;12;6;236;248;229;229
18;1;2019;6;12;6;236;248;229;229;175
19;1;2019;7;6;236;248;229;229;175;2
20;1;2019;1;236;248;229;229;175;2;3
21;1;2019;2;248;229;229;175;2;3;217
22;1;2019;3;229;229;175;2;3;217;246
23;1;2019;4;229;175;2;3;217;246;191
24;1;2019;5;175;2;3;217;246;191;300
25;1;2019;6;2;3;217;246;191;300;197
26;1;2019;7;3;217;246;191;300;197;42
27;1;2019;1;217;246;191;300;197;42;22
28;1;2019;2;246;191;300;197;42;22;273
29;1;2019;3;191;300;197;42;22;273;218
30;1;2019;4;300;197;42;22;273;218;192
31;1;2019;5;197;42;22;273;218;192;207
1;2;2019;6;42;22;273;218;192;207;182
2;2;2019;7;22;273;218;192;207;182;17
