Severity;Time;HourOfDay;Host;Problem;Urgency;Assignment Group
Warning;04.03.21 19:27;19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;04.03.21 17:30;17;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;04.03.21 15:21;15;GS1900-24;Interface GigabitEthernet7( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.03.21 15:21;15;GS1900-24;Interface GigabitEthernet5( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.03.21 14:33;14;GS1900-24;Interface GigabitEthernet7( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.03.21 14:33;14;GS1900-24;Interface GigabitEthernet5( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.03.21 14:12;14;GS1900-24;Interface GigabitEthernet7( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.03.21 14:09;14;GS1900-24;Interface GigabitEthernet5( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;04.03.21 11:55;11;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;04.03.21 08:20;8;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;04.03.21 02:15;2;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;04.03.21 00:36;0;GS1900-10HP Gartenhaus;Interface GigabitEthernet6(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;04.03.21 00:30;0;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;03.03.21 20:21;20;GS1900-10HP Gartenhaus;Interface GigabitEthernet6(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;03.03.21 20:05;20;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;03.03.21 17:49;17;GitLab Contabo;BWC Contabo has been restarted (uptime < 10m);2 - Medium;Data Center Services
Information;03.03.21 17:49;17;GitLab Contabo;/etc/passwd has been changed;3 - High;Data Center Services
Information;03.03.21 17:15;17;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;03.03.21 16:41;16;SSTG4400;/data/R10_2000G: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;03.03.21 16:20;16;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Information;03.03.21 14:18;14;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;03.03.21 13:35;13;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;03.03.21 12:25;12;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;03.03.21 07:25;7;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;03.03.21 02:30;2;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;03.03.21 02:30;2;GS1900-24;Interface GigabitEthernet7( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;03.03.21 00:50;0;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;03.03.21 00:35;0;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;03.03.21 00:15;0;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;03.03.21 00:15;0;GS1900-24;Interface GigabitEthernet7( ): High bandwidth usage ( > 90% );1 - Low;Network Services
High;28.02.21 04:28;4;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;28.02.21 04:28;4;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;28.02.21 04:28;4;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;28.02.21 04:28;4;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;28.02.21 03:20;3;px4-300d;Free disk space is less than 2% on volume /mnt/pools/A/A0;3 - High;Data Center Services
Warning;28.02.21 01:15;1;px4-300d;Free disk space is less than 10% on volume /mnt/pools/A/A0;2 - Medium;Data Center Services
Warning;27.02.21 15:10;15;asterisk;asterisk has been restarted (uptime < 10m);2 - Medium;Data Center Services
Information;25.02.21 20:01;20;px4-300d;Operational status was changed on px4-300d interface bond0;3 - High;Data Center Services
Average;25.02.21 19:25;19;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;25.02.21 19:19;19;sysmail;sysmail has been restarted (uptime < 10m);3 - High;Data Center Services
Average;25.02.21 19:14;19;sysmail;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;25.02.21 19:12;19;sysmail;Unavailable by ICMP ping;3 - High;Network Services
Information;25.02.21 19:06;19;px4-300d;Operational status was changed on px4-300d interface bond0;3 - High;Data Center Services
Average;25.02.21 19:01;19;sql-server;/: Disk space is critically low (used > 90%);3 - High;Data Center Services
Warning;25.02.21 18:53;18;sql-server;sql-server has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;25.02.21 18:52;18;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Information;25.02.21 18:51;18;FritzBox;Change of public IPv6 address;3 - High;Data Center Services
Information;25.02.21 18:51;18;FritzBox;Change of public IPv4 address;3 - High;Data Center Services
Warning;25.02.21 18:51;18;Zabbix server;Zabbix server has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;25.02.21 18:24;18;GS1900-10HP Gartenhaus;No SNMP data collection;2 - Medium;Network Services
Average;25.02.21 18:14;18;Zabbix server;Zabbix unreachable poller processes more than 75% busy;2 - Medium;Data Center Services
Warning;25.02.21 18:10;18;Zabbix server;Zabbix server has been restarted (uptime < 10m);2 - Medium;Data Center Services
High;25.02.21 15:52;15;Webcam Terrasse;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:51;15;FritzBox;WAN not connected;3 - High;Data Center Services
High;25.02.21 15:51;15;FritzBox;WAN interface down;3 - High;Data Center Services
Information;25.02.21 15:51;15;FritzBox;Change of public IPv6 address;3 - High;Data Center Services
Information;25.02.21 15:51;15;FritzBox;Change of public IPv4 address;3 - High;Data Center Services
Average;25.02.21 15:49;15;sysmail;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;25.02.21 15:49;15;sql-server;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;25.02.21 15:49;15;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
