Severity;Time;HourOfDay;Host;Problem;Urgency;Assignment Group
Average;01.01.21 01:17;1;DC1;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;01.01.21 01:16;1;DC1;Unavailable by ICMP ping;3 - High;Network Services
Average;31.12.20 23:49;23;DC1;"""ADSync"" (Microsoft Azure AD Sync) is not running (startup type automatic)";3 - High;Data Center Services
Warning;31.12.20 23:47;23;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;31.12.20 23:27;23;asterisk;asterisk has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;31.12.20 23:26;23;Zabbix server;Zabbix server has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;31.12.20 23:26;23;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;31.12.20 23:26;23;sql-server;sql-server has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;31.12.20 23:20;23;vpn;vpn has been restarted (uptime < 10m);3 - High;Data Center Services
Average;31.12.20 00:04;0;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Warning;29.12.20 21:26;21;sysmail;sysmail has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;27.12.20 19:01;19;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;27.12.20 15:52;15;GS1900-10HP Gartenhaus;No SNMP data collection;2 - Medium;Network Services
Warning;27.12.20 15:51;15;GS1900-10HP;No SNMP data collection;2 - Medium;Network Services
Average;27.12.20 14:52;14;Zabbix server;Zabbix unreachable poller processes more than 75% busy;2 - Medium;Data Center Services
Warning;27.12.20 14:42;14;sysmail;sysmail has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;27.12.20 14:42;14;Zabbix server;Zabbix server has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;27.12.20 14:42;14;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;27.12.20 14:42;14;sql-server;sql-server has been restarted (uptime < 10m);3 - High;Data Center Services
Average;27.12.20 13:32;13;vpn;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;27.12.20 13:30;13;vpn;Unavailable by ICMP ping;3 - High;Network Services
Average;27.12.20 13:16;13;Zabbix server;Zabbix unreachable poller processes more than 75% busy;2 - Medium;Data Center Services
Warning;27.12.20 13:15;13;sysmail;sysmail has been restarted (uptime < 10m);3 - High;Data Center Services
Average;27.12.20 13:13;13;asterisk;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;27.12.20 13:13;13;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;27.12.20 13:11;13;Webcam Gang Vorne;HTTP service is down on Webcam Gang Vorne;3 - High;Data Center Services
Average;27.12.20 13:11;13;Webcam Gartenhaus;HTTP service is down on Webcam Gartenhaus;3 - High;Data Center Services
Average;27.12.20 13:11;13;Webcam Gang;HTTP service is down on Webcam Gang;3 - High;Data Center Services
Average;27.12.20 13:11;13;Webcam Terrasse;HTTP service is down on Webcam Terrasse;3 - High;Data Center Services
High;27.12.20 13:11;13;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:11;13;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:11;13;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:11;13;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:10;13;asterisk;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:10;13;Webcam Gang Vorne;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:10;13;Webcam Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:10;13;Webcam Gang;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:10;13;Webcam Terrasse;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:10;13;GS1900-10HP Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:10;13;GS1900-10HP;Unavailable by ICMP ping;3 - High;Network Services
High;27.12.20 13:10;13;GS1900-24;Unavailable by ICMP ping;3 - High;Network Services
Warning;26.12.20 14:41;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.12.20 13:41;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;24.12.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;24.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;24.12.20 10:44;10;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;24.12.20 10:34;10;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;23.12.20 23:09;23;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;23.12.20 21:18;21;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;23.12.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;23.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;22.12.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;22.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;21.12.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;21.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;20.12.20 14:06;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;20.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;19.12.20 14:16;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;19.12.20 13:44;13;Google DNS;High ICMP ping loss;3 - High;Network Services
High;19.12.20 13:37;13;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;19.12.20 13:08;13;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;19.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
High;19.12.20 11:08;11;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;18.12.20 13:41;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;18.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;17.12.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;17.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;16.12.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;16.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;15.12.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;15.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;14.12.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;14.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;13.12.20 14:06;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;13.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;12.12.20 14:06;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;12.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;11.12.20 13:46;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;11.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;10.12.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;10.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;09.12.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;09.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;08.12.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;08.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;07.12.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;07.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;06.12.20 14:11;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;06.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;05.12.20 14:31;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;05.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.12.20 13:46;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;03.12.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;03.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
High;03.12.20 04:18;4;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;03.12.20 04:18;4;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;02.12.20 18:20;18;GS1900-10HP;No SNMP data collection;2 - Medium;Network Services
Average;02.12.20 18:17;18;Zabbix server;Zabbix unreachable poller processes more than 75% busy;2 - Medium;Data Center Services
Average;02.12.20 18:13;18;asterisk;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;02.12.20 18:13;18;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;02.12.20 18:11;18;Webcam Gang Vorne;HTTP service is down on Webcam Gang Vorne;3 - High;Data Center Services
Average;02.12.20 18:11;18;Webcam Gartenhaus;HTTP service is down on Webcam Gartenhaus;3 - High;Data Center Services
Average;02.12.20 18:11;18;Webcam Gang;HTTP service is down on Webcam Gang;3 - High;Data Center Services
Average;02.12.20 18:11;18;Webcam Terrasse;HTTP service is down on Webcam Terrasse;3 - High;Data Center Services
High;02.12.20 18:10;18;GS1900-10HP Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;18;GS1900-10HP;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;18;GS1900-24;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;18;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;18;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;18;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;18;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;18;asterisk;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;18;Webcam Gang Vorne;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;18;Webcam Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;18;Webcam Gang;Unavailable by ICMP ping;3 - High;Network Services
High;02.12.20 18:10;18;Webcam Terrasse;Unavailable by ICMP ping;3 - High;Network Services
Warning;02.12.20 18:09;18;sysmail;sysmail has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;02.12.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;02.12.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;01.12.20 14:11;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;30.11.20 15:41;15;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;30.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
High;30.11.20 04:45;4;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;30.11.20 04:45;4;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;30.11.20 04:45;4;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;30.11.20 04:45;4;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;29.11.20 18:21;18;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;29.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;28.11.20 20:31;20;GS1900-10HP;Interface GigabitEthernet5(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Average;28.11.20 19:45;19;Webcam Gang;HTTP service is down on Webcam Gang;3 - High;Data Center Services
Average;28.11.20 19:45;19;Webcam Terrasse;HTTP service is down on Webcam Terrasse;3 - High;Data Center Services
High;28.11.20 19:44;19;Webcam Gang;Unavailable by ICMP ping;3 - High;Network Services
High;28.11.20 19:44;19;Webcam Terrasse;Unavailable by ICMP ping;3 - High;Network Services
High;28.11.20 19:40;19;GS1900-10HP Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
High;28.11.20 19:40;19;GS1900-24;Unavailable by ICMP ping;3 - High;Network Services
Average;28.11.20 19:39;19;Webcam Gartenhaus;HTTP service is down on Webcam Gartenhaus;3 - High;Data Center Services
High;28.11.20 19:39;19;Webcam Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
Warning;28.11.20 15:01;15;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;27.11.20 14:11;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;27.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;26.11.20 13:36;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;26.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.11.20 13:21;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;24.11.20 23:01;23;sql-server;/: Disk space is critically low (used > 90%);3 - High;Data Center Services
Warning;24.11.20 16:58;16;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;24.11.20 13:31;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;24.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;23.11.20 18:34;18;Webcam Terrasse;HTTP service is down on Webcam Terrasse;3 - High;Data Center Services
Warning;23.11.20 15:26;15;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;23.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;23.11.20 01:01;1;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;22.11.20 17:56;17;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;22.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;21.11.20 14:11;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;21.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;20.11.20 13:56;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;20.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;19.11.20 13:21;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;19.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;18.11.20 13:46;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;18.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;17.11.20 13:21;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;17.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
High;16.11.20 14:40;14;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;16.11.20 14:40;14;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;16.11.20 14:40;14;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;16.11.20 14:40;14;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;16.11.20 13:21;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;16.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;15.11.20 14:11;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;15.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;14.11.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;14.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;13.11.20 13:56;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;13.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;12.11.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;12.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;11.11.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;11.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;11.11.20 08:28;8;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;11.11.20 08:25;8;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;11.11.20 08:25;8;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;11.11.20 08:25;8;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;11.11.20 08:25;8;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;10.11.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;10.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;09.11.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;09.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;08.11.20 14:11;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;08.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;07.11.20 20:31;20;GitLab Contabo;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Average;07.11.20 20:31;20;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;07.11.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;07.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
High;06.11.20 21:14;21;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
Warning;06.11.20 13:41;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;06.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;05.11.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;05.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.11.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;03.11.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;03.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;02.11.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;02.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;01.11.20 14:06;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;01.11.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;31.10.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;31.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;30.10.20 13:36;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;30.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;29.10.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;29.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;28.10.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;28.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;27.10.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;27.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;26.10.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;26.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.10.20 13:51;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
